file_key,series_prefix_candidate,series_step_candidate,y,C3H3_angle_deg_raw,C3H3_reversed_deg,C6H6_angle_deg,axis_angle_deg,antiparallel_deviation_deg,input_angle_diff_deg,dot_C3H3_C6H6,dot_xy_C3H3_C6H6,axis_abs_z_component_proxy,axis_abs_elevation_deg_proxy,C3H3_reversed_deg_bin,C6H6_angle_deg_bin,axis_angle_deg_bin,antiparallel_deviation_deg_bin
0-0-2-16-11,0-0-2-16,11,11.68,-125.54119076105297,54.458809238947026,54.88789644562094,54.67335284228398,0.4290872066738953,179.57091279332622,-0.99996001558692,-0.983195564349934,0.12947760901787614,7.43940639227531,"[50,70]","[50,70]","[50,70]","[0.25,0.5)"
0-0-2-16-12,0-0-2-16,12,14.77,-124.91245010130635,55.08754989869365,55.54079429532981,55.31417209701173,0.45324439663613525,179.546755603364,-0.99996001558692,-0.980301329378302,0.14020943694565638,8.059965637681458,"[50,70]","[50,70]","[50,70]","[0.25,0.5)"
0-0-2-16-14,0-0-2-16,14,4.6,-123.4951299810589,56.50487001894111,56.99613034065775,56.75050017979943,0.4912603217166073,179.5087396782833,-0.99996001558692,-0.974822027357262,0.15854963963900412,9.122722143469787,"[50,70]","[50,70]","[50,70]","[0.25,0.5)"
0-0-2-3-0,0-0-2-3,0,18.83,167.0750443368661,-12.924955663133895,-12.909249503827832,-12.917102583480863,0.015706159306037037,179.98429384069397,-0.99996001558692,-0.999197263822662,0.027617960899711552,1.5825938295130626,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-2-3-1,0-0-2-3,1,24.7,167.05267345415882,-12.947326545841232,-12.920053264929672,-12.93368990538545,0.027273280911529696,179.97272671908814,-0.99996001558692,-0.996810342859125,0.056121945153345267,3.2172409809909466,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-2-6-2,0-0-2-6,2,43.28,-177.7782598388651,2.221740161134889,2.282555522645296,2.252147841890092,0.06081536151038176,179.93918463848925,-0.99996001558692,-0.984882956695235,0.12278867574693153,7.053072460333741,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)"
0-0-2-6-3,0-0-2-6,3,42.98,-177.41519595220367,2.584804047796338,2.6694600455702253,2.6271320466832817,0.08465599777384926,179.91534400222622,-0.99996001558692,-0.961085555336154,0.19716607276802472,11.371287394126345,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)"
0-0-2-6-4,0-0-2-6,4,42.61,-176.84672013566572,3.1532798643342796,3.2635074881473285,3.208393676240804,0.11022762381302917,179.8897723761866,-0.99996001558692,-0.927031902662949,0.2700520559521276,15.667364506243105,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)"
0-0-2-6-5,0-0-2-6,5,42.03,-176.05631191664364,3.943688083356371,4.081970172869982,4.012829128113177,0.13828208951357382,179.86171791048622,-0.99996001558692,-0.883745145665885,0.3409030212846977,19.931900548964542,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)"
0-0-2-6-6,0-0-2-6,6,41.1,-175.02060623592553,4.97939376407446,5.149086367379126,5.064240065726794,0.1696926033046527,179.83030739669556,-0.99996001558692,-0.832529296298202,0.40918298997968866,24.153521837545206,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)"
0-0-2-6-7,0-0-2-6,7,39.86,-173.70817062646012,6.291829373539884,6.497323098213416,6.3945762358766505,0.20549372467350963,179.79450627532685,-0.99996001558692,-0.774929695232249,0.47437360840867937,28.318573568479927,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)"
0-0-2-6-8,0-0-2-6,8,38.45,-172.07791063316844,7.922089366831545,8.169009703882235,8.04554953535689,0.2469203370506507,179.75307966294903,-0.99996001558692,-0.712686139865078,0.5359793612834752,32.410353686505744,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)"
0-0-2-6-9,0-0-2-6,9,37.02,-170.07712646177515,9.922873538224842,10.218308248698534,10.070590893461688,0.29543471047367165,179.70456528952624,-0.99996001558692,-0.647680100128304,0.5935317307934059,36.40803314677641,"[-10,10)","[10,30)","[10,30)","[0.25,0.5)"
0-0-2-9-12,0-0-2-9,12,43.0,-146.69383452846455,33.306165471535444,33.80749118207852,33.556828326806986,0.5013257105430575,179.4986742894571,-0.99996001558692,-0.638862327878158,0.6009140435276596,36.935389278081594,"[30,50)","[30,50)","[30,50)","[0.5,3.1]"
0-0-2-9-13,0-0-2-9,13,42.23,-143.25876025017217,36.74123974982782,37.29644655468634,37.01884315225708,0.5552068048584876,179.4447931951418,-0.99996001558692,-0.600600814808781,0.6319487327134529,39.194043286270144,"[30,50)","[30,50)","[30,50)","[0.5,3.1]"
0-0-2-9-14,0-0-2-9,14,42.05,-139.4348523147675,40.56514768523248,41.17229237265581,40.868720028944146,0.6071446874233006,179.39285531257642,-0.99996001558692,-0.566718167555664,0.6582110968612244,41.16358315853443,"[30,50)","[30,50)","[30,50)","[0.5,3.1]"
0-0-2-9-15,0-0-2-9,15,42.34,-135.23874199119413,44.76125800880586,45.415363160944906,45.08831058487539,0.654105152139017,179.34589484786105,-0.99996001558692,-0.53823800061706,0.6795012987256611,42.80468504814204,"[30,50)","[30,50)","[30,50)","[0.5,3.1]"
0-0-2-9-16,0-0-2-9,16,42.9,-130.70969443526073,49.29030556473926,49.98281654432113,49.63656105453019,0.6925109795818444,179.30748902041825,-0.99996001558692,-0.516020892465956,0.6956573316805941,44.07962121770139,"[30,50)","[30,50)","[30,50)","[0.5,3.1]"
0-0-2-9-17,0-0-2-9,17,43.48,-125.91265848653981,54.08734151346019,54.806075574829464,54.446708544144826,0.718734061369248,179.28126593863024,-0.99996001558692,-0.500738273664425,0.7065562553134004,44.95540907878161,"[50,70]","[50,70]","[50,70]","[0.5,3.1]"
0-0-2-9-18,0-0-2-9,18,43.93,-120.93730424195903,59.062695758040974,59.79250438396254,59.427600071001756,0.7298086259215428,179.27019137407865,-0.99996001558692,-0.492852053374406,0.7121151326945061,45.40726995420211,"[50,70]","[50,70]","[50,70]","[0.5,3.1]"
